piece,passage_id,cohort,method,title_similarity
162,cmu1ov9nx000b04ldopibov69,workbook,position,1.0
163,cmu1ov9py000c04ldnlmsrlp5,workbook,position,1.0
164,cmu1ov9tx000d04ldfuptnykn,workbook,position,1.0
165,cmu1ov9vn000e04ldw2lokx0a,workbook,position,1.0
166,cmu1ova1n000f04ldixme4ie3,workbook,position,1.0
167,cmu1ova78000g04ldpbmwhkfj,workbook,position,1.0
168,cmu1ova95000h04ldqrk5bupc,workbook,position,0.9967
169,cmu1ovada000i04lddlfwu4t8,workbook,position,1.0
170,cmu1ovafa000j04ld7s42evyp,workbook,position,1.0
171,cmu1ovajt000k04ldzbz6zgae,workbook,position,1.0
172,cmu1ovam3000l04ld55x2biho,workbook,position,1.0
173,cmu1ovaq6000m04ldh0kptp5s,workbook,position,1.0
174,cmu1ovawr000n04ldmmiitn37,workbook,position,1.0
175,cmu1ovb34000o04lddv38vs6g,workbook,position,1.0
176,cmu1ovb5e000p04ld3wu70ymf,workbook,position,1.0
177,cmu1ovb9j000q04ld2ludgo8m,workbook,position,1.0
178,cmu1ovbbi000r04ldqofxeqdj,workbook,position,0.9907
179,cmu1ovbh2000s04ld8bkbatpf,workbook,position,1.0
180,cmu1ovbjv000t04ld65fghibb,workbook,position,1.0
181,cmu1ovbmo000u04ld611rnjed,workbook,position,1.0
182,cmu1ovbpn000v04ld8cn4u8wh,workbook,position,1.0
183,cmu1ovbrh000w04ldsyoyuqxd,workbook,position,0.9965
184,cmu1ovbta000x04ldlaa44sfn,workbook,position,1.0
185,cmu1ovbv4000y04ldwn4xzbn6,workbook,position,1.0
186,cmu1ovbxn000z04ldth3trdag,workbook,position,1.0
187,cmu1ovbzt001004ld9y65klzo,workbook,position,1.0
188,cmu1ovc3s001104ld4niankn3,workbook,position,1.0
189,cmu1ovc6l001204ld7u929wi4,workbook,position,1.0
190,cmu1ovcc3001304ldxx43khuo,workbook,position,1.0
191,cmu1ovcg0001404ldc94r970p,workbook,position,1.0
192,cmu1ovcll001504ldyt3e9mxi,workbook,position,1.0
193,cmu1ovcnz001604ldq3pe7jck,workbook,position,1.0
194,cmu1ovcry001704ldcnil11ci,workbook,position,1.0
195,cmu1ovcur001804ldipqe6sll,workbook,position,1.0
196,cmu1ovcye001904ld0tyvmdlj,workbook,position,1.0
197,cmu1ovd12001a04ldofhoftcs,workbook,position,1.0
198,cmu1ovd4o001b04ldfkdz5our,workbook,position,1.0
199,cmu1ovd6z001c04ldnquvrd5b,workbook,position,1.0
200,cmu1ovd96001d04ld14rxan78,workbook,position,1.0
201,cmu1ovdbl001e04ldkuq09tht,workbook,position,1.0
202,cmu1ovddg001f04ldy7jlijt9,workbook,position,1.0
203,cmu1ovdfb001g04ldb1gl4wf1,workbook,position,1.0
204,cmu1ovdh3001h04ldyz2bxw5s,workbook,position,0.9518
205,cmu1ovdiw001i04lda29yzpb1,workbook,position,1.0
206,cmu1ovdl1001j04ldeiq7n2tb,workbook,position,1.0
207,cmu1ovdnb001k04ldaf2z7p4w,workbook,position,0.9975
208,cmu1ovdp7001l04ldt0r9cod9,workbook,position,1.0
209,cmu1ovdrx001m04ldka4j01o3,workbook,position,1.0
210,cmu1ovduz001n04ld19b2kdcu,workbook,position,1.0
211,cmu1ovdyq001o04ldp9zy97nl,workbook,position,1.0
212,cmu1ove1x001p04ldorao1tw4,workbook,position,1.0
213,cmu1ove4j001q04ldnu3l34ln,workbook,position,1.0
214,cmu1ove6g001r04lduelftgwv,workbook,position,1.0
215,cmu1ove92001s04ld9ddajwsy,workbook,position,1.0
216,cmu1oveaz001t04ld8l1j2lf9,workbook,position,1.0
217,cmu1oved3001u04ldz5zhw1v4,workbook,position,1.0
218,cmu1ovef5001v04ldxczg74ds,workbook,position,1.0
219,cmu1oveh5001w04ldg3wni3g6,workbook,position,1.0
220,cmu1ovejf001x04ld58q9jiwc,workbook,position,1.0
221,cmu1ovep6001y04ldm76p9k9c,workbook,position,1.0
222,cmu1over3001z04ldfjfzcooz,workbook,position,1.0
223,cmu1ovetc002004ldzvmoexpt,workbook,position,1.0
224,cmu1ovevo002104ldhvjkslqm,workbook,position,1.0
225,cmu1ovexr002204ldd4wmetnd,workbook,position,1.0
226,cmu1ovf38002304ld3fs8615c,workbook,position,1.0
227,cmu1ovf8a002404ld4axvzsr9,workbook,position,1.0
